rps cpu_limit req_rate req_latency cpu cpu0 cpu1 cpu2 cpu3 cpu4 cpu5 cpu6 cpu7 cpu8 cpu9 cpu10 cpu11 cpu12 cpu13 cpu14 cpu15 memory_usage 
10 5000m 10.02089819372306 41.46744574290484 42.900000000000006 2.6 2.7 2.7 2.6 2.6 2.8 2.8 2.7 2.7 2.7 2.8 2.7 2.6 2.7 2.6 2.6 571.3406213154362
12 5000m 12.023405008357752 40.627808988764045 49.90000000000001 3.1 3.2 3.1 3.2 3.1 3.2 3.2 3.0 3.1 3.1 3.0 3.1 3.2 3.2 3.0 3.1 573.9449075973158
15 5000m 15.02609289499097 39.55072463768116 60.999999999999986 3.8 3.9 3.8 3.8 3.9 3.8 3.8 3.8 3.8 3.8 3.8 3.8 3.9 3.8 3.7 3.8 574.6798646979869
18 5000m 18.02563940994766 38.34203168685927 72.1 4.6 4.6 4.5 4.6 4.4 4.5 4.5 4.4 4.6 4.5 4.5 4.5 4.4 4.4 4.5 4.6 577.2066843489935
20 5000m 20.029191138783947 36.956816257408974 78.0 4.8 5.0 4.9 4.8 4.7 4.9 4.8 4.9 4.9 4.9 5.0 4.9 4.9 4.9 4.9 4.8 576.5136356510067
22 5000m 22.030040348410353 35.901538461538465 84.5 5.2 5.3 5.3 5.2 5.3 5.3 5.4 5.3 5.3 5.3 5.2 5.2 5.3 5.4 5.2 5.3 594.5672642147651
25 5000m 25.03206572020774 35.539959704499665 95.10000000000001 6.0 5.9 6.0 6.0 6.0 6.0 6.0 5.9 5.9 6.0 6.0 5.9 5.9 5.9 5.8 5.9 595.1620364026846
27 5000m 27.033763862630256 47.63333333333333 99.5 6.1 6.2 6.2 6.3 6.3 6.3 6.3 6.2 6.2 6.1 6.1 6.2 6.3 6.3 6.2 6.2 652.9662728590611
30 5000m 28.884491373642607 1097.0439684329199 97.29999999999998 6.1 6.1 6.0 6.0 6.1 6.0 6.2 6.0 6.1 6.1 6.1 6.1 6.2 6.1 6.0 6.1 796.6488896613417
1 5500m 1.0173464677388533 44.233333333333334 3.5 0.0 0.1 0.2 0.1 0.2 0.3 0.2 0.3 0.3 0.2 0.3 0.3 0.2 0.2 0.3 0.3 625.2555545771809
3 5500m 3.0178091361271364 43.70949720670391 12.500000000000002 0.7 0.8 0.8 0.8 0.8 0.8 0.8 0.7 0.8 0.8 0.8 0.8 0.7 0.8 0.8 0.8 546.5037799865321
5 5500m 5.019178460949684 42.741610738255034 19.399999999999995 1.2 1.2 1.2 1.2 1.3 1.3 1.2 1.2 1.2 1.1 1.2 1.3 1.2 1.2 1.2 1.2 550.9178474882159
7 5500m 7.020671527974364 42.10765550239235 27.799999999999997 1.7 1.7 1.8 1.8 1.7 1.7 1.8 1.7 1.8 1.7 1.7 1.7 1.7 1.8 1.8 1.7 554.6518134949499
10 5500m 10.020870749095609 41.43333333333333 39.39999999999999 2.5 2.5 2.5 2.5 2.4 2.5 2.5 2.4 2.5 2.5 2.4 2.4 2.5 2.5 2.4 2.4 553.1472023703703
12 5500m 12.02160574438883 40.9381153305204 45.79999999999999 2.8 2.8 2.9 2.8 2.9 3.0 2.9 2.9 2.9 2.9 2.8 2.9 2.9 2.8 2.8 2.8 554.500838228188
15 5500m 15.024822633804988 39.70236753100338 54.59999999999999 3.5 3.4 3.4 3.4 3.4 3.5 3.4 3.4 3.5 3.5 3.3 3.4 3.3 3.4 3.4 3.4 555.8098675973156
