rps,cpu_limit,req_rate,req_latency,cpu,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,memory_usage
7.0,5.5,7.0,42.1,27.8,1.7,1.7,1.8,1.8,1.7,1.7,1.8,1.7,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.7,554.7
10.0,5.5,10.0,41.4,39.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.5,2.5,2.4,2.4,553.1
12.0,5.5,12.0,40.9,45.8,2.8,2.8,2.9,2.8,2.9,3.0,2.9,2.9,2.9,2.9,2.8,2.9,2.9,2.8,2.8,2.8,554.5
15.0,5.5,15.0,39.7,54.6,3.5,3.4,3.4,3.4,3.4,3.5,3.4,3.4,3.5,3.5,3.3,3.4,3.3,3.4,3.4,3.4,555.8
18.0,5.5,18.0,38.2,65.3,4.0,4.1,4.1,4.1,4.2,4.0,4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.1,4.0,4.1,557.9
20.0,5.5,20.0,37.1,70.3,4.4,4.4,4.4,4.3,4.4,4.4,4.4,4.4,4.4,4.5,4.4,4.4,4.3,4.4,4.4,4.4,557.7
22.0,5.5,22.0,35.9,77.5,4.8,5.0,4.9,4.8,4.9,4.8,4.9,4.8,4.9,4.9,4.8,4.7,4.8,4.8,4.9,4.8,562.7
25.0,5.5,25.0,34.2,85.8,5.3,5.4,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.4,5.4,5.4,5.3,596.0
27.0,5.5,27.0,33.6,90.6,5.7,5.6,5.6,5.7,5.7,5.6,5.7,5.7,5.6,5.7,5.6,5.6,5.8,5.7,5.7,5.6,599.9
30.0,5.5,30.0,41.1,99.1,6.2,6.1,6.3,6.2,6.2,6.2,6.1,6.2,6.1,6.2,6.3,6.3,6.1,6.2,6.2,6.2,632.6
32.0,5.5,32.0,56.4,99.4,6.2,6.3,6.2,6.3,6.2,6.2,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.2,672.7
1.0,6.0,1.0,43.1,3.7,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.3,642.3
3.0,6.0,3.0,43.6,11.4,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,566.0
5.0,6.0,5.0,43.5,19.7,1.2,1.2,1.2,1.3,1.2,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.3,1.2,570.0
7.0,6.0,7.0,42.4,25.8,1.6,1.6,1.6,1.6,1.6,1.7,1.6,1.6,1.7,1.6,1.6,1.5,1.6,1.6,1.7,1.6,569.1
10.0,6.0,10.0,41.6,35.4,2.3,2.2,2.2,2.1,2.2,2.2,2.2,2.3,2.3,2.2,2.2,2.3,2.2,2.2,2.1,2.2,572.7
12.0,6.0,12.0,41.0,42.2,2.8,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.6,2.7,2.7,2.8,2.5,574.6
15.0,6.0,15.0,39.8,51.1,3.3,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.3,3.2,3.1,3.2,3.2,3.2,3.2,3.2,577.5
18.0,6.0,18.0,38.4,60.5,3.8,3.8,3.9,3.7,3.7,3.7,3.8,3.8,3.7,3.8,3.7,3.8,3.9,3.8,3.8,3.8,576.1
20.0,6.0,20.0,37.2,65.2,4.1,4.0,4.0,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,3.9,4.1,4.1,4.1,575.9
22.0,6.0,22.0,35.8,70.0,4.3,4.3,4.3,4.4,4.4,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.4,4.3,617.6
25.0,6.0,25.0,34.2,78.0,5.0,5.0,4.9,4.8,4.9,4.9,4.9,4.8,4.9,4.8,4.8,4.9,4.8,4.8,4.9,4.9,616.5
27.0,6.0,27.0,33.5,82.9,5.2,5.3,5.3,5.2,5.2,5.2,5.1,5.1,5.2,5.1,5.2,5.2,5.1,5.1,5.2,5.2,622.0
30.0,6.0,30.0,32.3,92.2,5.8,5.8,5.7,5.8,5.8,5.8,5.9,5.7,5.7,5.8,5.7,5.8,5.7,5.8,5.7,5.7,618.8
32.0,6.0,32.0,33.4,96.2,6.1,6.1,5.9,6.0,6.0,6.0,6.0,5.9,6.0,6.0,6.1,6.1,6.0,6.0,6.0,6.0,636.5
35.0,6.0,35.0,49.8,99.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.2,6.2,6.3,6.1,6.1,6.3,6.2,6.2,6.1,679.4
37.0,6.0,37.0,64.8,99.7,6.3,6.3,6.2,6.2,6.2,6.2,6.3,6.2,6.2,6.3,6.2,6.2,6.2,6.2,6.3,6.2,753.4
1.0,6.5,1.0,43.8,3.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,629.5
3.0,6.5,3.0,43.2,10.3,0.7,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,553.4
5.0,6.5,5.0,43.7,18.4,1.1,1.1,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.1,1.1,1.2,1.2,1.2,557.1
7.0,6.5,7.0,42.4,23.9,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,560.0
10.0,6.5,10.0,41.1,32.6,2.0,2.0,2.0,2.0,2.1,2.0,2.0,2.0,2.1,2.0,2.1,2.1,2.0,2.1,2.0,2.1,564.9
12.0,6.5,12.0,40.6,38.6,2.4,2.4,2.4,2.5,2.4,2.4,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,562.0
15.0,6.5,15.0,39.7,47.3,3.0,2.9,3.0,2.9,3.0,3.0,3.0,3.0,3.1,2.9,2.9,3.0,2.9,2.9,2.9,2.9,562.5
